"film_id","title","description","store_id"
1,"Academy Dinosaur","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies",1
1,"Academy Dinosaur","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies",1
1,"Academy Dinosaur","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies",1
1,"Academy Dinosaur","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies",1
15,"Alien Center","A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention",1
15,"Alien Center","A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention",1
16,"Alley Evolution","A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans",1
16,"Alley Evolution","A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans",1
18,"Alter Victory","A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies",1
18,"Alter Victory","A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies",1
18,"Alter Victory","A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies",1
20,"Amelie Hellfighters","A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon",1
20,"Amelie Hellfighters","A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon",1
20,"Amelie Hellfighters","A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon",1
21,"American Circus","A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank",1
21,"American Circus","A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank",1
50,"Baked Cleopatra","A Stunning Drama of a Forensic Psychologist And a Husband who must Overcome a Waitress in A Monastery",1
50,"Baked Cleopatra","A Stunning Drama of a Forensic Psychologist And a Husband who must Overcome a Waitress in A Monastery",1
50,"Baked Cleopatra","A Stunning Drama of a Forensic Psychologist And a Husband who must Overcome a Waitress in A Monastery",1
53,"Bang Kwai","A Epic Drama of a Madman And a Cat who must Face a A Shark in An Abandoned Amusement Park",1
53,"Bang Kwai","A Epic Drama of a Madman And a Cat who must Face a A Shark in An Abandoned Amusement Park",1
54,"Banger Pinocchio","A Awe-Inspiring Drama of a Car And a Pastry Chef who must Chase a Crocodile in The First Manned Space Station",1
54,"Banger Pinocchio","A Awe-Inspiring Drama of a Car And a Pastry Chef who must Chase a Crocodile in The First Manned Space Station",1
54,"Banger Pinocchio","A Awe-Inspiring Drama of a Car And a Pastry Chef who must Chase a Crocodile in The First Manned Space Station",1
70,"Bikini Borrowers","A Astounding Drama of a Astronaut And a Cat who must Discover a Woman in The First Manned Space Station",1
70,"Bikini Borrowers","A Astounding Drama of a Astronaut And a Cat who must Discover a Woman in The First Manned Space Station",1
81,"Blindness Gun","A Touching Drama of a Robot And a Dentist who must Meet a Hunter in A Jet Boat",1
81,"Blindness Gun","A Touching Drama of a Robot And a Dentist who must Meet a Hunter in A Jet Boat",1
81,"Blindness Gun","A Touching Drama of a Robot And a Dentist who must Meet a Hunter in A Jet Boat",1
81,"Blindness Gun","A Touching Drama of a Robot And a Dentist who must Meet a Hunter in A Jet Boat",1
82,"Blood Argonauts","A Boring Drama of a Explorer And a Man who must Kill a Lumberjack in A Manhattan Penthouse",1
82,"Blood Argonauts","A Boring Drama of a Explorer And a Man who must Kill a Lumberjack in A Manhattan Penthouse",1
